zlower_cm,zupper_cm,dose,r.err,z_mm
1.84,1.85,0.289415325210676,0.004,18.450000000000003
1.85,1.86,0.29048501134910903,0.0044,18.55
1.86,1.87,0.29133293328811083,0.0046,18.650000000000002
1.87,1.88,0.2903415168671241,0.0034,18.75
1.88,1.89,0.2922721698974667,0.0036,18.849999999999998
1.89,1.9,0.29606825119361324,0.0052,18.95
1.9,1.91,0.29529859897205774,0.0036,19.049999999999997
1.91,1.92,0.2990555454094811,0.0049,19.15
1.92,1.93,0.29854679224608,0.0041,19.25
1.93,1.94,0.3000469618304678,0.0038,19.35
1.94,1.95,0.3003730856531608,0.0036,19.45
1.95,1.96,0.30183412037882545,0.004,19.55
1.96,1.97,0.30316470557541286,0.0036,19.65
1.97,1.98,0.30684338229538993,0.0047,19.75
1.98,1.99,0.30775652899893036,0.0041,19.849999999999998
1.99,2.0,0.30876099037282473,0.0045,19.950000000000003
2.0,2.01,0.30929583344204126,0.0038,20.049999999999997
2.01,2.02,0.3095697774531034,0.0033,20.15
2.02,2.03,0.3120874533642934,0.0038,20.25
2.03,2.04,0.31422682564115945,0.0038,20.35
2.04,2.05,0.3169271308930575,0.0047,20.45
2.05,2.06,0.316392287823841,0.0037,20.549999999999997
2.06,2.07,0.3190795481228313,0.004,20.65
2.07,2.08,0.3207884369537426,0.004,20.75
2.08,2.09,0.3208536617182812,0.0039,20.85
2.09,2.1,0.3232539330533017,0.0037,20.949999999999996
2.1,2.11,0.3246106081557046,0.004,21.05
2.11,2.12,0.32470192282605864,0.0036,21.150000000000002
2.12,2.13,0.3263194969866159,0.0035,21.25
2.13,2.14,0.32830232982858937,0.0038,21.349999999999998
2.14,2.15,0.32981554436588484,0.0036,21.45
2.15,2.16,0.33145920843225757,0.0037,21.550000000000004
2.16,2.17,0.3348769860940802,0.0041,21.65
2.17,2.18,0.335959717185421,0.0037,21.75
2.18,2.19,0.337264212476193,0.0036,21.85
2.19,2.2,0.33989929296355237,0.004,21.950000000000003
2.2,2.21,0.3415168671241097,0.0035,22.05
2.21,2.22,0.3440345430352996,0.0039,22.15
2.22,2.23,0.3460304208301809,0.0035,22.25
2.23,2.24,0.34800020871924653,0.0036,22.35
2.24,2.25,0.35072660387696003,0.0043,22.450000000000003
2.25,2.26,0.3532573247410577,0.0039,22.549999999999997
2.26,2.27,0.3548879438545227,0.0036,22.65
2.27,2.28,0.35782305825875976,0.0037,22.75
2.28,2.29,0.36118865610895146,0.004,22.85
2.29,2.3,0.3629497247514936,0.0036,22.95
2.3,2.31,0.3662109629784237,0.0038,23.049999999999997
2.31,2.32,0.36855905450181325,0.0036,23.15
2.32,2.33,0.37137676432988076,0.0037,23.25
2.33,2.34,0.37376399071199357,0.0035,23.35
2.34,2.35,0.3751206658143964,0.0033,23.449999999999996
2.35,2.36,0.3804299616478385,0.0036,23.55
2.36,2.37,0.3832346265229983,0.0037,23.650000000000002
2.37,2.38,0.38601320149234264,0.0035,23.75
2.38,2.39,0.3896657883065042,0.0037,23.849999999999998
2.39,2.4,0.39123118265543066,0.0033,23.95
2.4,2.41,0.39483158965796133,0.0034,24.050000000000004
2.41,2.42,0.39847113151921526,0.0034,24.15
2.42,2.43,0.4042500456573352,0.0038,24.25
2.43,2.44,0.4064937775574631,0.0034,24.35
2.44,2.45,0.41090297164027245,0.0034,24.450000000000003
2.45,2.46,0.4142946593962796,0.0036,24.55
2.46,2.47,0.4183516397505805,0.0035,24.65
2.47,2.48,0.4229825980328211,0.0035,24.75
2.48,2.49,0.4285658378773253,0.0037,24.85
2.49,2.5,0.4326619530903494,0.0036,24.950000000000003
2.5,2.51,0.4375407654778366,0.0036,25.049999999999997
2.51,2.52,0.4420021393722769,0.0035,25.15
2.52,2.53,0.4458112656213311,0.0034,25.25
2.53,2.54,0.4496334368232931,0.0031,25.35
2.54,2.55,0.45744736361501737,0.0035,25.45
2.55,2.56,0.4626914346839208,0.0033,25.549999999999997
2.56,2.57,0.46738761773070003,0.0032,25.65
2.57,2.58,0.47527981423987065,0.0034,25.75
2.58,2.59,0.4823632236687626,0.0034,25.85
2.59,2.6,0.48982493673197847,0.0035,25.949999999999996
2.6,2.61,0.4956429857288216,0.0033,26.05
2.61,2.62,0.5031960134623914,0.0033,26.150000000000002
2.62,2.63,0.5114534686529782,0.0034,26.25
2.63,2.64,0.5194239348795952,0.0033,26.349999999999998
2.64,2.65,0.5291554697487543,0.0033,26.45
2.65,2.66,0.5377260038091263,0.0032,26.550000000000004
2.66,2.67,0.5469487855148844,0.0032,26.65
2.67,2.68,0.5585457486498474,0.0033,26.75
2.68,2.69,0.5691643403167315,0.0033,26.85
2.69,2.7,0.5817918547314044,0.0032,26.950000000000003
2.7,2.71,0.5952803360379869,0.0033,27.05
2.71,2.72,0.6105298859871117,0.0033,27.15
2.72,2.73,0.6251924130553889,0.0033,27.25
2.73,2.74,0.6415768739074852,0.0032,27.35
2.74,2.75,0.6588875264160297,0.0032,27.450000000000003
2.75,2.76,0.6802421143259673,0.0033,27.549999999999997
2.76,2.77,0.7017532416707976,0.0033,27.65
2.77,2.78,0.7267734613478046,0.0033,27.75
2.78,2.79,0.7562941897779749,0.0034,27.85
2.79,2.8,0.7885152234600433,0.0034,27.95
2.8,2.81,0.8207493020950195,0.0035,28.049999999999997
2.81,2.82,0.8557358657935246,0.0035,28.15
2.82,2.83,0.8919486550653554,0.0036,28.25
2.83,2.84,0.9277179159383235,0.0037,28.35
2.84,2.85,0.9562472279475072,0.0038,28.449999999999996
2.85,2.86,0.9858331811422161,0.0039,28.55
2.86,2.87,0.9974170993242716,0.0041,28.650000000000002
2.87,2.88,1.0,0.0043,28.75
2.88,2.89,0.980902188943098,0.0045,28.849999999999998
2.89,2.9,0.9420412742310001,0.0049,28.95
2.9,2.91,0.87933418560359,0.0053,29.050000000000004
2.91,2.92,0.7867932896762244,0.0059,29.15
2.92,2.93,0.6720237939941037,0.0067,29.25
2.93,2.94,0.5420177933157662,0.0078,29.35
2.94,2.95,0.4068329463330637,0.0093,29.450000000000003
2.95,2.96,0.27984032977640955,0.0116,29.55
2.96,2.97,0.17981163088001256,0.0148,29.65
2.97,2.98,0.10392392183464218,0.0198,29.75
2.98,2.99,0.05453573012601425,0.0277,29.85
2.99,3.0,0.027026533434214305,0.0395,29.950000000000003
3.0,3.01,0.012280649116856689,0.059,30.049999999999997
3.01,3.02,0.005454616608834042,0.0882,30.15
3.02,3.03,0.0020232721959873726,0.1546,30.25
3.03,3.04,0.0005674684964387279,0.2657,30.35
3.04,3.05,0.00022122935636202355,0.4623,30.45
3.05,3.06,0.00011482558897962379,0.6532,30.549999999999997
3.06,3.07,1.2937592945289468e-05,0.384,30.65
3.07,3.08,2.4000104359623262e-05,0.3994,30.75
3.08,3.09,2.5500273944011064e-05,0.4505,30.85
3.09,3.1,2.5755955021002374e-05,0.4518,30.949999999999996
3.1,3.11,2.482063189751885e-05,0.5718,31.05
3.11,3.12,3.0292989642307394e-05,0.4654,31.150000000000002
3.12,3.13,8.192491325106318e-05,0.5325,31.25
3.13,3.14,5.5435831876646934e-05,0.7115,31.349999999999998
3.14,3.15,5.5931540087140284e-05,0.7844,31.45
3.15,3.16,0.0001590440658509223,0.6658,31.550000000000004
3.16,3.17,0.00022398184142555247,0.6942,31.65
3.17,3.18,6.581570090531974e-05,0.8781,31.75
3.18,3.19,1.5347387095932583e-05,0.4378,31.85
3.19,3.2,1.4068981710976024e-05,0.5264,31.950000000000003
3.2,3.21,2.3774426674319706e-05,0.5833,32.05
3.21,3.22,7.507892196509171e-06,0.3504,32.15
3.22,3.23,9.40788958751859e-05,0.8507,32.25
3.23,3.24,3.968666023115657e-05,0.8146,32.35
3.24,3.25,1.1449816066164002e-05,0.3848,32.45
3.25,3.26,1.9516554045239897e-05,0.4688,32.55
3.26,3.27,4.420543191839078e-05,0.5379,32.65
3.27,3.28,4.279135902319393e-05,0.7448,32.75
3.28,3.29,5.431787941245533e-05,0.68,32.85
3.29,3.3,1.4276396462208771e-05,0.4471,32.95
3.3,3.31,9.902032403663023e-06,0.4643,33.05
3.31,3.32,1.2324219259568474e-05,0.4068,33.15
3.32,3.33,2.1268491220746693e-05,0.5227,33.25
3.33,3.34,1.8141616008766208e-05,0.5709,33.35
3.34,3.35,1.6346630488663935e-05,0.5276,33.449999999999996
3.35,3.36,3.4831328758903184e-05,0.4343,33.55
3.36,3.37,5.467661561741763e-05,0.6145,33.650000000000006
3.37,3.38,6.149912598815519e-05,0.6368,33.75
3.38,3.39,6.613008427039579e-05,0.7591,33.849999999999994
3.39,3.4,8.915051266664927e-05,0.8584,33.95
3.4,3.41,4.6929218085522715e-05,0.741,34.050000000000004
3.41,3.42,1.5231287015053877e-05,0.679,34.15
3.42,3.43,2.3936184090375433e-05,0.5184,34.25
3.43,3.44,2.465756998617235e-05,0.4549,34.35
3.44,3.45,1.3732421925956848e-05,0.6527,34.45
3.45,3.46,1.4593388817866368e-05,0.6596,34.55
3.46,3.47,1.4890813744162384e-05,0.6871,34.65
3.47,3.48,1.5477836625009784e-05,0.6617,34.75
3.48,3.49,1.8132484541730803e-05,0.6224,34.85
3.49,3.5,1.5856140259333663e-05,0.687,34.95
3.5,3.51,1.4991259881551828e-05,0.6852,35.05
3.51,3.52,1.666753633019385e-05,0.6684,35.15
3.52,3.53,1.532521067598946e-05,0.7862,35.25
3.53,3.54,2.5952933809908947e-05,0.6087,35.35
3.54,3.55,1.5753085131362676e-05,0.7611,35.45
3.55,3.56,1.7441102037621646e-05,0.7185,35.55
3.56,3.57,2.013749380364737e-05,0.6708,35.65
3.57,3.58,2.257037752093715e-05,0.6416,35.75
3.58,3.59,2.505805004043936e-05,0.6504,35.85
3.59,3.6,2.3043909311487387e-05,0.6452,35.949999999999996
3.6,3.61,2.0164888204753584e-05,0.7534,36.05
3.61,3.62,2.386704583996452e-05,0.6986,36.150000000000006
3.62,3.63,2.557202118500352e-05,0.6188,36.25
3.63,3.64,7.536199744318924e-05,0.698,36.349999999999994
3.64,3.65,2.7098280675206764e-05,0.6848,36.45
3.65,3.66,2.7907067755485405e-05,0.7115,36.550000000000004
3.66,3.67,2.9584648699418197e-05,0.7469,36.65
3.67,3.68,3.0175585066137913e-05,0.8423,36.75
3.68,3.69,3.6100602676824336e-05,0.7815,36.85
3.69,3.7,4.4445459051892824e-05,0.8253,36.95
3.7,3.71,6.996008244410238e-05,0.9338,37.05
3.71,3.72,7.330089488376948e-06,0.4949,37.15
3.72,3.73,6.762373137832972e-06,0.4804,37.25
3.73,3.74,9.311487385530539e-06,0.5074,37.35
3.74,3.75,1.351196222181638e-05,0.4577,37.45
3.75,3.76,1.1280492577421796e-05,0.5485,37.55
3.76,3.77,6.827989250958804e-06,0.4732,37.65
3.77,3.78,1.356414203344726e-05,0.6109,37.75
3.78,3.79,9.47637559028412e-06,0.4761,37.85
3.79,3.8,8.85439223564403e-06,0.4255,37.95
3.8,3.81,6.591092906154609e-05,0.88,38.05
3.81,3.82,4.811239531425292e-05,0.8947,38.15
3.82,3.83,7.32108847087062e-06,0.4645,38.25
3.83,3.84,4.3143572751702365e-06,0.4632,38.35
3.84,3.85,4.2353048605494535e-06,0.4657,38.449999999999996
3.85,3.86,4.146207832189726e-06,0.4657,38.55
3.86,3.87,8.420517101933263e-06,0.6415,38.650000000000006
3.87,3.88,8.246888778731508e-06,0.5193,38.75
3.88,3.89,6.800986198439824e-06,0.5125,38.849999999999994
3.89,3.9,6.47316653186882e-06,0.4923,38.95
3.9,3.91,6.962743614495552e-06,0.5075,39.050000000000004
3.91,3.92,1.2447233165488275e-05,0.7539,39.15
3.92,3.93,8.923660935584023e-06,0.5161,39.25
3.93,3.94,9.200866184873073e-06,0.6682,39.35
3.94,3.95,1.6944089331837513e-05,0.8744,39.45
3.95,3.96,6.241227269169559e-06,0.4542,39.55
3.96,3.97,1.6260533799472984e-05,0.5727,39.65
3.97,3.98,2.534895249028151e-05,0.7804,39.75
3.98,3.99,2.846669623522659e-05,0.7334,39.85
3.99,4.0,2.536069294789846e-05,0.7995,39.95
